sdcc_preruntime_min,ascot_runtime_min,cleaning_time_min,total_runtime_min,lost_power_W_output,number_particles,current_drive_A,power_deposited_to_ions_W,power_deposited_to_electrons_W,shine_inj1,shine_inj2,te0,teav,shine_success,success,marker_quantity,index,run_dir,batch_num
17.01,0.29,0.0,17.3,51277.77470052046,7.899863885353935e+19,126844.55218033842,5079922.35541326,5545428.242328641,0.0,0.0,34.849856,11.420744,True,True,1000,6,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-fc8754fb-2fca-470f-81b7-58702563f361,0
21.49,0.74,0.0,22.23,26921.774125777156,7.713978802285409e+19,123563.87168648465,4955746.35236726,5602542.198451841,0.0006,0.0,34.849856,11.420744,True,True,10000,4,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-826e30fc-2936-46da-939b-f5f59ec2d4b1,0
17.69,5.48,0.0,23.17,26532.396165808455,7.719870536062222e+19,122277.55073678262,4964622.404339143,5607809.013052431,0.00028,0.0002,34.849856,11.420744,True,True,100000,8,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-a5a25cfb-279a-4b33-b57b-9e8e3bbb64dd,0
6.78,0.74,0.0,7.51,21794.067785448206,7.754921696139593e+19,123063.19089597721,4986046.222882838,5614336.2821176015,0.0002,0.000999,34.849856,11.420744,True,True,10000,10,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-dc38bf1b-7a1f-4016-8226-65d17d17385f,0
10.47,0.31,0.0,10.78,25635.567126231424,7.723590256772676e+19,122347.82407535585,4948829.731016236,5631778.969440777,0.0,0.0,34.849856,11.420744,True,True,1000,18,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-54d1e151-245c-4110-a3bb-d03a471cfaa4,0
11.34,0.28,0.0,11.61,38460.1545998067,7.729761517214925e+19,120043.06327959057,4971728.419821873,5682376.720444843,0.0,0.0,34.849856,11.420744,True,True,1000,24,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-90e9f719-fbde-4764-94f2-26c6ef2d6e5a,0
11.39,0.72,0.0,12.11,34613.919507411636,7.673134566952169e+19,122185.48615499256,4934327.248192623,5567857.7716346085,0.0,0.0002,34.849856,11.420744,True,True,10000,16,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-5869e6e3-605d-44fc-9655-97ec93e5ed75,0
23.62,5.48,0.0,29.11,28834.581476070176,7.717810629764573e+19,122374.55847762559,4961352.428465031,5607113.115431643,0.00028,0.0002,34.849856,11.420744,True,True,100000,2,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-1ae792ab-61be-41fd-a21b-413d219c3204,0
29.64,0.3,0.0,29.95,0.0,7.957508276424829e+19,126965.91324702722,5102436.187734595,5578622.697641467,0.0,0.0,34.849856,11.420744,True,True,1000,0,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-c18c4fd2-774f-4c62-8185-c53ea5307f26,0
15.59,0.3,0.0,15.89,12817.772434441316,7.727448740865668e+19,123283.61780272533,4951959.61092333,5508070.706472776,0.0,0.0,34.849856,11.420744,True,True,1000,12,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-c4d48066-1391-4870-b39f-4c38484ce3db,0
