sdcc_preruntime_min,ascot_runtime_min,cleaning_time_min,total_runtime_min,lost_power_W_output,number_particles,current_drive_A,parallel_current_A,current_drive_correction_factor,power_deposited_to_ions_W,power_deposited_to_electrons_W,shine_inj1,shine_inj2,te0,teav,shine_success,success,enbi,nbar,np,hfactor,index,run_dir,batch_num
4.59,0.79,0.0,5.38,54222.28456941335,1.1737865972019578e+20,272604.9389782761,1859679.442591044,0.14658705835800528,4506994.533980823,5673481.398935746,0.006162,0.003587,41.211522,13.946068,True,True,796.6841558034178,5.528917783875849,1.3435565554557487,1.2222973018565835,48,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-9b1b0703-1272-481c-adb7-f4eb0c82ed42,0
5.25,0.29,0.0,5.54,294997.7150912571,8.762050933977783e+18,-441.37963950511636,98988.89009081782,-0.0044588805784181494,1217974.9493525957,14825014.057572119,0.0,0.0,6.53001,1.416708,True,True,800.3962727964573,11.83302409063689,1.2846246220104927,0.8230587215493932,18,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-5e68d056-015f-4290-868b-419eef0d838e,0
5.19,0.7,0.0,5.89,37413.301603102365,8.710877133925222e+19,137129.55956479587,1148127.7909626137,0.11943754052832713,4800364.815810664,6067811.109075478,0.001199,0.000799,36.644941,11.467451,True,True,717.4106026296137,7.000578863870946,1.1552248852743396,1.1247617826063423,40,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-cde98af9-51c5-4348-b192-557a7abce6d7,0
5.28,0.75,0.0,6.03,108271.85206271063,1.0381619456022741e+20,148973.5583543774,1237042.2246635782,0.12042722179098757,6981103.906333238,8746453.359576922,0.0002,0.0002,28.546557,10.581134,True,True,807.386317533276,8.187374520685276,1.4955516761432819,1.0325861995293406,52,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-5a39e6e3-beea-49b6-ab02-74f07481eea2,0
6.3,0.78,0.0,7.09,128355.06023371976,1.0253096346387708e+20,57445.468237307075,1537494.323860565,0.03736304410741798,5210027.08764589,10426155.608462218,0.003786,0.002394,29.172376,8.418103,True,True,858.243463186918,6.710234118098094,1.051699559844141,0.8301341603572787,30,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-f13d12cb-9c1d-48f8-9d7f-879619dd0893,0
6.69,0.7,0.0,7.39,37565.56690811466,6.9656452009499255e+19,96519.29833877775,826195.3230464311,0.11682382560927847,4883300.789913319,6820788.875928566,0.0,0.0002,34.416742,10.601276,True,True,718.5621556792661,8.597610396876009,1.0883933792325495,1.1109352961666539,14,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-25b2a2bd-0db7-465a-a245-d0862ac9da5d,0
7.37,0.75,0.0,8.12,41544.11247576137,7.054497485386819e+19,102209.24162867593,787233.1778685387,0.12983350359471765,4967063.544572198,5947565.463929678,0.0,0.0002,32.677461,10.775991,True,True,688.4854792565276,8.340671794947424,1.2565279571406018,1.1126434719416822,42,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-654a161d-afc0-4c16-8836-63865cf1f2db,0
7.73,0.78,0.0,8.52,1906.0589431106298,5.243242297396835e+19,69863.25853975865,544548.4536851711,0.12829576150105068,2862111.8391569406,2422558.1742010494,0.0004,0.0004,38.287026,11.934746,True,True,517.3111726363709,6.082911098557858,1.209338212414482,1.1591147623322837,10,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-57ed4156-1292-46f5-9476-d367565fb0f1,0
8.25,0.71,0.0,8.96,49259.150228792576,1.0178732652787207e+20,154038.5519034215,1647615.791708409,0.0934917913985877,4086388.223805639,6273718.846627446,0.005964,0.004381,39.831338,11.903205,True,True,777.455684255511,5.691401998989718,1.0242849891617394,1.0783603741933283,4,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-8a08b0e8-8599-4d0b-8ff0-61adb9ef2046,0
8.27,0.71,0.0,8.98,12295.678285418628,3.5080638383085154e+19,43491.20656304639,321908.8718635304,0.1351040942465357,3511915.3204606096,5077973.501102472,0.0,0.0,29.453137,9.695172,True,True,626.2727017539264,11.356018402984105,1.2187861779866636,1.1039210478468373,44,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-bf2ebba9-a89a-4556-aff6-d86d936c4399,0
8.18,0.86,0.0,9.04,65629.48192799062,1.1421896151736173e+20,295361.01439881895,1954815.5436052945,0.15109405865173364,4160236.6862786836,5939557.684979157,0.00774,0.005767,46.397241,14.74965,True,True,859.8294912837646,5.5320652624769675,1.1538335301545275,1.3091387843401512,20,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-4b35dbf9-0e5f-4b89-9bcf-f1aa012cef01,0
9.14,0.74,0.0,9.88,1739.0917556314241,4.178535231042761e+19,67106.38358556107,402910.936725116,0.1665538893806302,3486389.228939049,3794626.884122008,0.0,0.0,38.855036,12.268728,True,True,586.5123739663057,9.573793666512655,1.1025360070833339,1.309543176108477,28,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-80040b61-ef34-4e5e-a8f1-cfa03622ebbc,0
9.29,0.77,0.0,10.06,101572.34224302783,8.161853264619969e+19,112082.0630389243,896818.3411810406,0.12497744291371302,6421334.307060281,8572309.688526545,0.0002,0.0,27.163908,9.964266,True,True,781.4810514962317,9.417450388968215,1.4782639491812115,1.0323327104058266,6,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-e5ccd3f1-95b0-495e-870f-861a223b7e7a,0
9.28,0.9,0.0,10.18,77590.84486847164,6.858905316331177e+19,102000.1162136184,804794.5901459426,0.12674055897309344,5643134.632190286,8312111.800300515,0.0,0.0,33.673535,10.577125,True,True,785.37821520766,10.181730202901587,1.0861959965666634,1.136591470056218,0,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-2924db18-de46-4c9c-a6a1-176c8fadbf37,0
9.52,0.83,0.0,10.36,0.0,3.9085185560605024e+19,61870.5402697447,325053.0527880968,0.19033982218920528,2950805.104187313,2185752.461890395,0.0,0.0,37.498662,12.979779,True,True,502.1743826323674,8.326472867640701,1.4016755881391976,1.3320427380463375,12,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-c2ec7c1d-347e-4b02-aadb-9d0d1a5af8e3,0
9.71,0.7,0.0,10.4,7509.698376660612,4.180417152080451e+19,34958.14247130394,443361.75586543075,0.07884789792720516,2809875.699941015,3677752.676383789,0.0002,0.0,31.677953,9.227355,True,True,553.530354230629,7.419598531582857,1.0104285515850495,0.9858027721755029,36,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-e7e7a55d-9304-45a4-8e17-01f4b70b10ed,0
