sdcc_preruntime_min,ascot_runtime_min,cleaning_time_min,total_runtime_min,lost_power_W_output,number_particles,current_drive_A,parallel_current_A,current_drive_correction_factor,power_deposited_to_ions_W,power_deposited_to_electrons_W,shine_inj1,shine_inj2,te0,teav,shine_success,success,enbi,nbar,np,hfactor,index,run_dir,batch_num
6.54,0.46,0.0,7.0,45513.472887120246,1.1125798392654073e+20,288205.52174280916,1859612.2167029083,0.1549815166593159,4089677.3142840434,5331949.970847044,0.004777,0.004975,46.421909,14.739357,True,True,801.1145885102451,5.4270855948328975,1.1766346702352166,1.3198360507376492,12,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-39b78651-923c-4b95-a2f9-6e24bf6f0bb1,0
6.42,0.63,0.0,7.05,57193.23451016952,1.207944032031497e+20,315174.8836651182,1666042.41751344,0.18917578589356396,6595381.801832065,7240812.542913732,0.000799,0.0002,41.556987,14.459667,True,True,850.1431881450117,7.490527374297381,1.3636398361995816,1.3783970278687776,4,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-d2c0eae4-3861-4379-b44a-7a2d288b4ea1,0
6.2,0.9,0.0,7.1,124421.55651300443,1.2653802197855705e+20,265788.14057456533,1898803.7126867648,0.13997662780977033,6429530.808652565,9208889.77192011,0.001398,0.002195,38.303811,12.782767,True,True,931.561331730336,7.220900278910994,1.245050779543817,1.1908911515027285,16,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-3d385315-5877-4af3-acfe-4bfdcee040a3,0
6.61,0.61,0.0,7.22,45912.111088697544,9.234965572725378e+19,139238.64560739743,1340440.7532099893,0.10387527033474543,4648113.611468869,6687397.886523374,0.001996,0.001199,37.879406,11.399832,True,True,755.8740018866956,6.719366588070988,1.043493169825524,1.0997290000319482,28,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-4bd129df-69e8-4224-b047-91f977444974,0
6.89,0.61,0.0,7.5,119190.617945737,1.107816065487236e+20,372753.88438687136,2087912.0757623005,0.17852949303469987,3410953.800468293,5307016.501944438,0.012833,0.011858,49.170409,16.773999,True,True,979.7047502361238,5.155366412177682,1.3070647595450282,1.4218993853777646,24,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-ab12b691-fb1c-4fec-8dcc-dc095c121e51,0
7.04,0.66,0.0,7.7,105570.69931067913,1.2664539666771822e+20,317452.5113921409,1987763.9883093592,0.15970332155083553,5486656.913723072,7346037.391467432,0.002394,0.002792,41.215445,14.147546,True,True,896.7143227346241,6.367266964539885,1.3313640919514,1.2704753217287361,32,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-7dcf2caf-8946-4eae-a37d-ce0280bf9733,0
7.26,0.51,0.0,7.77,2913.0035338265693,7.420904952551082e+19,67153.01333955649,1059855.8320134943,0.06336051688462237,2323093.3943901486,2409570.191156204,0.010097,0.008723,39.375393,11.825561,True,True,546.7498004436493,3.9174867600202563,1.204849276226014,0.9682343935593963,30,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-3a46286e-dc68-4e14-962b-cdeb7dbc459a,0
7.72,0.72,0.0,8.44,16120.258076937427,7.670036101688908e+19,89367.67948531438,942872.5624275929,0.09478235240531489,3861512.714129311,4316738.993747557,0.001597,0.0006,33.408389,10.692473,True,True,622.0841463655233,5.981242027133703,1.2668675552122295,1.0190618513152003,22,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-e3975ae1-b7e9-4699-a928-7f185c586908,0
7.68,0.75,0.0,8.44,7528.967345100995,8.246984126215422e+19,142206.6874930189,1105963.1380109556,0.12858176064418722,3086091.453488337,2663162.1097117793,0.004777,0.003388,40.663579,13.500515,True,True,577.4806141853333,4.655834936723113,1.3838633792474866,1.159877698775381,6,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-e0cda29e-7454-49f0-8ec4-963cf0613505,0
7.69,0.77,0.0,8.46,18301.400455512623,8.901402868436107e+19,181801.24393650438,1011977.6964102,0.17964945727698348,5496541.3489975445,5090682.14590004,0.0002,0.0002,37.560253,13.317087,True,True,690.3505809605122,7.59835963100195,1.4444668916985393,1.2906930865719914,26,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-c6edca7a-ca32-4671-bec9-56cac9b975ee,0
7.68,0.89,0.0,8.57,224879.38928443743,1.417165810477168e+20,178584.20437646625,2299030.3942817505,0.07767805280897927,5839049.149455497,10361086.186615717,0.006359,0.005173,30.873391,10.911689,True,True,962.2919070534408,5.9575558573007585,1.4084241106174886,0.9337925464846194,8,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-ff390ad3-a11b-4548-9d25-825cf9cbea59,0
8.44,0.66,0.0,9.1,30208.61309581692,7.03131853728502e+19,29991.58630692443,896083.3628618413,0.0334696385960561,3775211.756145994,6043598.375874125,0.001398,0.000799,27.42934,7.842356,True,True,658.5825867950916,6.236577881500125,1.156208714004606,0.8367246526293457,2,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-ac9a7be4-9f36-4a42-95c8-657497a8d503,0
8.28,0.8,0.0,9.08,671.5006377456228,4.9771853290065215e+19,95525.20597099504,525991.8788596748,0.18160965940783935,2935672.946229328,2428127.3971782355,0.000999,0.0002,46.827437,14.290368,True,True,528.8528557866812,6.785215422883629,1.0718489149585366,1.450860050227493,14,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-677a5619-3bca-4efa-9877-72441dcc4df3,0
8.37,0.73,0.0,9.1,66872.99710728611,1.2795618527849832e+20,81019.97040039221,2163855.110154425,0.03744241932844116,4076071.13928796,7742633.7997712195,0.016716,0.012248,29.07547,10.068433,True,True,832.8832979314029,4.590299589559436,1.4805021504871547,0.8000732503831387,20,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-5b1e6097-37d0-43cb-8a63-7f0bacec5475,0
9.17,0.8,0.0,9.97,79273.60751880416,1.1275444685901696e+20,93122.34996543778,2051857.1224776802,0.045384422212103,3543450.7425593035,7358222.908936741,0.019223,0.017296,36.951627,10.858157,True,True,870.1483425684273,4.785627115890383,1.0680820606648922,0.8956789874471724,36,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_sobol_seq_extended_take2/batch_0/ascot_sdcc_workflow_runner-22066d0a-c924-480b-97d6-bc6cf3ccc34d,0
