sdcc_preruntime_min,ascot_runtime_min,cleaning_time_min,total_runtime_min,lost_power_W_output,number_particles,current_drive_A,power_deposited_to_ions_W,power_deposited_to_electrons_W,success,enbi,nbar,np,hfactor,index,run_dir,batch_num
8.19,0.21,0.01,8.41,115370.11518184816,1.0809694056353574e+20,190320.5148608935,6607159.610790486,9232876.243208751,True,866.5586752904171,7.972076395987758,1.1571065369897822,1.165853608533115,2088,/tmp/ascot_sdcc_workflow_runner-c7d46097-7c78-424e-93c2-beb73c663ebc,10
9.34,0.21,0.01,9.56,207648.22439456644,1.0995656795511072e+20,190034.8918934092,6723735.305444691,9440055.034167232,True,866.5586752904171,7.972076395987758,1.1571065369897822,1.165853608533115,2108,/tmp/ascot_sdcc_workflow_runner-ea5c2945-3b43-4209-95bf-28c4988255ca,10
10.38,0.37,0.01,10.75,92299.28696177658,1.1116273674346524e+20,199413.8640251482,6721750.723948701,9223536.495987851,True,866.5586752904171,7.972076395987758,1.1571065369897822,1.165853608533115,2128,/tmp/ascot_sdcc_workflow_runner-a1c90c27-5c14-469c-ab51-f4562ad50887,10
11.52,0.21,0.01,11.73,161524.51919119855,1.1253846458743454e+20,186653.0216097211,6835630.013336075,9447478.86286803,True,866.5586752904171,7.972076395987758,1.1571065369897822,1.165853608533115,2098,/tmp/ascot_sdcc_workflow_runner-c2de64f8-974d-4bab-9642-7e485334f1c2,10
6.51,0.2,0.01,6.73,161524.8607965817,1.0904117716615148e+20,191267.57889727937,6622973.031229224,9246473.771792172,True,866.5586752904171,7.972076395987758,1.1571065369897822,1.165853608533115,2158,/tmp/ascot_sdcc_workflow_runner-5db97602-d1d2-4fdf-8ec0-0ad1b98d8b6d,10
7.16,0.21,0.01,7.38,138469.74769222256,1.110788182259368e+20,192549.27475102607,6777893.4516208,9188850.463416886,True,866.5586752904171,7.972076395987758,1.1571065369897822,1.165853608533115,2178,/tmp/ascot_sdcc_workflow_runner-3aad2277-dc23-4912-bd86-c406887170c6,10
18.1,0.22,0.01,18.33,184622.55469524063,1.0756689279942725e+20,178793.55662950946,6551285.391117948,9051686.395313276,True,866.5586752904171,7.972076395987758,1.1571065369897822,1.165853608533115,2118,/tmp/ascot_sdcc_workflow_runner-cc562df5-6650-4894-bd03-32def9757b41,10
8.9,0.21,0.01,9.12,138443.53159483604,1.10293568061684e+20,191431.18285714497,6750918.974260255,9207461.1939133,True,866.5586752904171,7.972076395987758,1.1571065369897822,1.165853608533115,2148,/tmp/ascot_sdcc_workflow_runner-e5748dd3-3ff2-45e4-8dbb-92de7246c7ae,10
15.53,0.2,0.19,15.93,115376.24325147746,1.105621821143642e+20,192600.37574399955,6730588.934867683,9280251.637160089,True,866.5586752904171,7.972076395987758,1.1571065369897822,1.165853608533115,2138,/tmp/ascot_sdcc_workflow_runner-1548d6c9-a49a-4c56-bb71-14acfe676610,10
7.86,0.19,0.01,8.06,161517.737089396,1.080410814222352e+20,184322.01512338463,6591988.880487705,9060946.374437546,True,866.5586752904171,7.972076395987758,1.1571065369897822,1.165853608533115,2168,/tmp/ascot_sdcc_workflow_runner-2826dd31-99bd-4983-9090-d16a84457680,10
