,success,te0,teav,output_shine_inj1,shine_inj2,clean_time_min,run_time_min,enbi,nbar,np,hfactor,index,run_dir,batch_num
0,True,41.134964,13.918132,0.051773,0.045984,0.0056473731994628,15.131870901584623,916.2339898757637,3.7236550167202953,1.3151917564682662,0.9956700188107788,514,/tmp/ShineRunner-db6de3be-790e-4bf3-89eb-e359641a825d,0
2,True,43.127807,14.156745,0.005767,0.004579,0.0139460523923238,18.24899170001348,584.0405593626201,4.465309051424265,1.3632384380325675,1.2065445667132737,524,/tmp/ShineRunner-b6ebce6f-faba-4396-80fa-65cb77f27c97,0
3,True,46.71121,15.078755,0.015942,0.013028,0.0153836369514465,18.45679792165756,874.0595877170563,4.919979747012258,1.2106801713816822,1.2752702170982957,518,/tmp/ShineRunner-56d3d7df-7024-4108-b747-01d45248dde4,0
4,True,50.581469,14.912403,0.030256,0.027994,0.0341886480649312,20.44791889190674,691.0532908514142,3.693305325135589,1.0501476642675698,1.1874112439341844,544,/tmp/ShineRunner-693828ea-cc69-41ed-a6b8-75b7f03f5060,0
5,True,39.549491,12.872274,0.03232,0.028749,0.0787652015686035,20.699720891316733,711.498158518225,3.505189855769277,1.3386878115125,0.9459762750193476,640,/tmp/ShineRunner-ca5e272f-abc3-4a4f-b028-b06557f85708,0
6,True,46.047922,16.305832,0.019223,0.015166,0.0518954356511433,21.003394754727683,802.9875666834414,4.266502006724477,1.478798198979348,1.2898184798657897,494,/tmp/ShineRunner-1a4e7f2b-ad51-4079-a745-c1e564f75435,0
7,True,42.924326,13.423385,0.06015,0.04961,0.0278360605239868,22.022640554110207,528.5147959366441,2.438074741140008,1.343107822816819,0.8474160799756647,539,/tmp/ShineRunner-1360e566-68ba-4659-8484-50c9390849ba,0
8,True,54.627402,17.066855,0.052492,0.047256,0.0626880327860514,22.301417275269827,853.3449782989919,3.5418673507869247,1.140754190273583,1.32636416843161,486,/tmp/ShineRunner-7562dd96-e738-44cd-8696-e4d4e65ed214,0
9,True,53.991487,18.433585,0.120493,0.109052,0.0269360979398091,23.78907320896785,795.9164911881089,2.4511111706495288,1.3931540055200458,1.196217139530927,433,/tmp/ShineRunner-911c713b-ef38-47ff-a909-31f2e8dd8309,0
10,True,54.469316,17.273215,0.016329,0.013612,0.0239906867345174,23.791430834929148,563.3106883615255,3.635062912479044,1.3011839664541185,1.4808839636854827,492,/tmp/ShineRunner-ad5f0831-0742-4489-835a-66e58aebfb90,0
